Dataset index,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Temperature difference [K],Power [W],Overstrain indicator,Actual failure,Failure probability,Corrective action,Preventive action,Predictive action
8749,L,297.2,308.4,1677,26.4,146,11.199999999999989,4636.236774461673,3854.3999999999996,0,0.003773233722368534,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
132,M,298.7,308.4,1441,43.2,132,9.699999999999989,6518.930419904966,5702.400000000001,0,0.0036401305849835795,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
7381,L,299.7,310.3,1495,43.1,101,10.600000000000023,6747.565061257717,4353.1,0,0.003639864083070806,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
1391,L,298.9,310.2,2737,8.8,142,11.300000000000011,2522.2381339100775,1249.6000000000001,1,0.9929629539239251,REPAIR AFTER FAILURE,CONTINUE OPERATION,PERFORM MAINTENANCE
1739,H,298.5,307.9,1260,54.2,141,9.399999999999977,7151.521516631806,7642.200000000001,0,0.003978967364088041,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
4176,M,302.3,310.7,1544,39.7,141,8.399999999999977,6418.985885618762,5597.700000000001,0,0.003638926025097612,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
9601,L,298.9,310.1,2109,18.0,61,11.200000000000045,3975.3713438525247,1098.0,0,0.003919823437833254,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
6044,M,300.8,310.9,1522,41.7,115,10.099999999999966,6646.290586081494,4795.5,0,0.003638926025097612,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
884,L,295.8,306.4,1356,48.0,99,10.599999999999966,6815.999421228415,4752.0,0,0.003806245682824475,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
7435,L,299.9,311.3,1504,40.7,20,11.400000000000034,6410.18942618871,814.0,0,0.003643394490715871,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
2047,L,299.3,309.2,1775,24.2,125,9.899999999999977,4498.237081164985,3025.0,0,0.00368806050207376,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
5209,M,303.8,312.7,1507,38.5,180,8.899999999999977,6075.7878321651015,6930.0,0,0.0036517944669343877,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
1732,H,298.4,307.9,1700,28.2,120,9.5,5020.265060436489,3384.0,0,0.0036536452321299074,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
2446,L,299.3,308.6,1422,48.9,83,9.300000000000011,7281.771948049637,4058.7,0,0.0038102103034984456,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
1039,L,296.7,307.7,1524,36.8,82,11.0,5873.0189703269025,3017.6,0,0.003656019427789882,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
3438,L,301.4,310.4,1471,37.5,193,9.0,5776.6034917882325,7237.5,0,0.0037679691682786995,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
8826,M,297.2,308.8,1485,47.9,143,11.600000000000023,7448.873261294079,6849.7,0,0.0036438007503955872,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
3104,M,299.8,309.2,1678,29.8,202,9.399999999999977,5236.448522905515,6019.6,0,0.005798808426226401,CONTINUE OPERATION,PERFORM MAINTENANCE,CONTINUE OPERATION
4667,H,303.3,311.4,1651,30.6,50,8.099999999999966,5290.504860498284,1530.0,0,0.0036708329196660262,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
7293,L,300.1,310.5,1627,29.2,95,10.399999999999977,4975.068014126845,2774.0,0,0.003722386451140967,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
6894,L,301.1,311.7,1408,46.3,135,10.599999999999966,6826.722724152667,6250.5,0,0.0036841605668019224,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
5596,M,302.7,312.0,1538,36.7,74,9.300000000000011,5910.864689827148,2715.8,0,0.0036447873321095933,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
4495,L,302.6,310.4,1359,57.2,67,7.7999999999999545,8140.369220275728,3832.4,1,0.989155730898962,REPAIR AFTER FAILURE,CONTINUE OPERATION,PERFORM MAINTENANCE
8378,M,298.8,309.9,1331,61.6,46,11.099999999999966,8585.930834358856,2833.6,0,0.005916134246091866,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
2119,M,299.3,308.9,1858,24.7,101,9.599999999999966,4805.861833804498,2494.7,0,0.0036536452321299074,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
8582,M,297.5,308.1,1334,72.0,151,10.600000000000023,10058.123039733082,10872.0,1,0.9294728695575845,REPAIR AFTER FAILURE,CONTINUE OPERATION,PERFORM MAINTENANCE
9276,L,298.1,308.7,1691,30.3,49,10.599999999999966,5365.557508992544,1484.7,0,0.003640115871559538,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
5403,L,302.7,312.3,1858,25.4,2,9.600000000000023,4942.060347313127,50.8,0,0.0036814463083971695,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
1561,L,298.2,308.4,1388,53.8,137,10.199999999999989,7819.884881707521,7370.599999999999,0,0.0036869175336831073,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
553,M,297.4,309.3,1564,36.0,126,11.900000000000034,5896.141092257324,4536.0,0,0.0036404426947292596,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
7009,L,300.5,310.5,1536,36.2,12,10.0,5822.753487869467,434.40000000000003,0,0.0036512178976840434,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
1683,M,297.9,307.4,1403,52.8,0,9.5,7757.471907656203,0.0,0,0.004213554252534233,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
9808,M,298.2,309.0,1441,44.2,147,10.800000000000011,6669.831587032395,6497.400000000001,0,0.0036504090480398953,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
405,L,297.3,308.5,1350,57.6,186,11.199999999999989,8143.008158104744,10713.6,0,0.012929622005789159,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
1725,M,298.3,307.8,1392,50.4,101,9.5,7346.802915978947,5090.4,0,0.0036529232298975573,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
5182,L,303.9,313.1,1586,31.9,108,9.200000000000045,5298.128458670994,3445.2,0,0.00363972720324028,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
7967,M,301.0,312.2,1629,32.6,69,11.199999999999989,5561.18448353158,2249.4,0,0.003638926025097612,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
8742,L,297.4,308.8,1467,39.0,128,11.400000000000034,5991.3313496610945,4992.0,0,0.003638926025097612,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
6369,H,300.0,309.5,1781,24.9,70,9.5,4643.99650831604,1743.0,0,0.0037080405980715486,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
9146,L,297.6,308.6,1528,40.0,123,11.0,6400.471432913605,4920.0,0,0.0036404426947292596,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
3659,M,302.2,311.5,1734,25.0,116,9.300000000000011,4539.601384437251,2900.0,0,0.003654648657325635,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
6590,L,301.7,310.7,1763,25.9,3,9.0,4781.682042347368,77.69999999999999,0,0.0036487950836439744,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
1427,L,298.7,309.8,1394,40.3,11,11.100000000000023,5882.967347063271,443.29999999999995,0,0.0038159901141200077,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
5436,M,302.9,312.5,1679,30.9,79,9.600000000000023,5432.976087338579,2441.1,0,0.0036874723421090458,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
2484,H,298.8,308.6,1524,37.7,170,9.800000000000011,6016.652586449029,6409.000000000001,0,0.003721624815328227,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
215,L,298.3,308.6,1548,40.3,140,10.300000000000011,6532.879091286903,5642.0,0,0.0036416472546152274,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
9664,L,299.1,310.2,1317,54.8,231,11.099999999999966,7557.792278594038,12658.8,1,0.9889382879890393,REPAIR AFTER FAILURE,PERFORM MAINTENANCE,PERFORM MAINTENANCE
4632,M,302.9,311.2,1330,53.7,200,8.300000000000011,7479.189630401221,10740.0,1,0.7657193756383591,REPAIR AFTER FAILURE,PERFORM MAINTENANCE,PERFORM MAINTENANCE
866,L,295.9,306.6,1678,26.7,53,10.700000000000045,4691.717300724069,1415.1,0,0.003640100013952964,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
6283,L,301.3,310.8,1719,29.5,62,9.5,5310.3911419955075,1829.0,0,0.0036548009341311498,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
7017,M,300.7,310.6,1474,37.0,33,9.900000000000034,5711.206004716006,1221.0,0,0.00367816211769864,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
1231,M,297.2,308.5,1604,40.7,158,11.300000000000011,6836.398829525725,6430.6,0,0.003642583908816232,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
1290,L,298.6,309.7,1429,45.8,113,11.099999999999966,6853.719477022517,5175.4,0,0.0037879070943749537,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
6742,H,301.7,311.2,1639,30.0,161,9.5,5149.070359233671,4830.0,0,0.003709283706723457,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
1849,L,297.7,307.2,1668,32.7,31,9.5,5711.792435344675,1013.7,0,0.0036500748186349364,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
1019,L,296.3,307.3,1398,52.7,31,11.0,7715.186070538886,1633.7,0,0.003700806033447993,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
3964,M,302.3,311.6,1668,33.2,52,9.300000000000011,5799.128711114471,1726.4,0,0.0037340927976225297,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
351,M,297.6,308.4,1611,31.0,48,10.799999999999955,5229.809290430929,1488.0,0,0.0036537559654900424,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
5039,H,304.1,313.3,1689,32.5,134,9.199999999999989,5748.329157905923,4355.0,0,0.003640115871559538,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
7055,L,300.8,310.6,1663,30.6,139,9.800000000000011,5328.957954578223,4253.400000000001,0,0.0044400367385752345,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
8107,H,300.3,311.9,1390,49.0,194,11.599999999999966,7132.4625212000265,9506.0,0,0.004487580144249238,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
4617,M,303.1,311.4,1831,23.3,161,8.299999999999955,4467.585608841461,3751.3,0,0.0037386476805963296,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
585,L,297.6,309.5,2001,20.5,220,11.899999999999977,4295.656714886004,4510.0,0,0.044169252070384864,CONTINUE OPERATION,PERFORM MAINTENANCE,CONTINUE OPERATION
6299,L,301.2,310.6,1385,49.2,105,9.400000000000034,7135.813553363857,5166.0,0,0.0037858824645446557,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
2137,L,299.3,308.9,1623,31.1,152,9.599999999999966,5285.7610555913625,4727.2,0,0.0036532360542813522,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
9317,L,298.5,309.5,1480,38.1,160,11.0,5904.937551687375,6096.0,0,0.003641068642956774,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
9924,M,298.5,308.6,1384,54.4,44,10.100000000000023,7884.308475057136,2393.6,0,0.003777349847703053,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
80,H,298.8,308.8,1445,49.9,4,10.0,7550.870302780627,199.6,0,0.0040170206881278755,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
555,M,297.4,309.4,1539,42.2,134,12.0,6801.108272050401,5654.8,0,0.003694934748844466,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
3474,M,301.9,310.8,1557,35.3,65,8.900000000000034,5755.617652862252,2294.5,0,0.0036447873321095933,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
5821,L,301.3,311.1,1303,49.2,212,9.800000000000011,6713.332173309101,10430.400000000001,0,0.028956358116387304,CONTINUE OPERATION,PERFORM MAINTENANCE,CONTINUE OPERATION
6220,L,301.1,310.8,1470,49.3,116,9.699999999999989,7589.145373276862,5718.799999999999,0,0.0038920562346947143,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
3026,M,300.4,309.5,1888,21.9,221,9.100000000000023,4329.868658883596,4839.9,0,0.0712043638246902,CONTINUE OPERATION,PERFORM MAINTENANCE,CONTINUE OPERATION
7973,L,301.1,312.3,1682,29.7,83,11.199999999999989,5231.317254904651,2465.1,0,0.003645477640388993,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
3916,L,302.6,311.6,1453,37.0,135,9.0,5629.838754988029,4995.0,0,0.003667176243316557,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
221,H,298.4,308.5,1827,24.3,153,10.100000000000023,4649.148720267927,3717.9,0,0.003642496438592583,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
8704,L,297.1,308.5,1425,40.0,35,11.399999999999977,5969.026041820606,1400.0,0,0.0037133518527916903,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
4111,M,302.0,310.6,1563,41.0,184,8.600000000000023,6710.756067333157,7544.0,0,0.004159356464756678,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
4231,L,302.2,310.8,1340,47.8,54,8.600000000000023,6707.509754924447,2581.2,0,0.9792368438998856,CONTINUE OPERATION,CONTINUE OPERATION,PERFORM MAINTENANCE
7884,L,300.8,312.4,1465,59.1,91,11.599999999999966,9066.793477892823,5378.1,1,0.2774172489078196,REPAIR AFTER FAILURE,CONTINUE OPERATION,PERFORM MAINTENANCE
871,L,295.8,306.4,1339,53.2,67,10.599999999999966,7459.690811997941,3564.4,0,0.003694655881390638,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
6750,M,301.7,311.0,1505,44.0,187,9.300000000000011,6934.54218402387,8228.0,0,0.0038778569918397317,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
5953,M,300.7,310.9,1486,38.9,106,10.199999999999989,6053.367332593981,4123.4,0,0.003638926025097612,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
4381,L,301.9,309.6,1446,43.2,225,7.7000000000000455,6541.549887010811,9720.0,0,0.03681037137268041,CONTINUE OPERATION,PERFORM MAINTENANCE,CONTINUE OPERATION
3640,H,302.4,311.6,1544,39.1,70,9.200000000000045,6321.973504475909,2737.0,0,0.0036404426947292596,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
9837,M,298.4,309.3,1355,50.6,8,10.900000000000034,7179.900570269234,404.8,0,0.003762162683778769,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
7621,L,300.5,311.5,1490,38.4,67,11.0,5991.645508926454,2572.7999999999997,0,0.0036461514053436296,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
3977,M,302.2,311.3,1510,36.6,91,9.100000000000023,5787.441986443117,3330.6,0,0.003648039527592778,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
5496,M,302.9,312.5,1924,24.0,17,9.600000000000023,4835.539412405409,408.0,0,0.003759777929517085,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
2790,L,300.4,309.6,1356,45.9,64,9.200000000000045,6517.79944654967,2937.6,0,0.00374968731250412,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
3132,L,300.1,309.5,1557,40.6,59,9.399999999999977,6619.775544085197,2395.4,0,0.0036413826600562222,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
2261,M,299.1,308.2,1435,45.2,45,9.099999999999966,6792.332756571373,2034.0000000000002,0,0.004443525358359034,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
1426,M,298.7,309.7,1622,34.6,8,11.0,5876.99832102145,276.8,0,0.003639864083070806,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
1733,L,298.4,308.0,1515,42.8,125,9.600000000000023,6790.238361468979,5350.0,0,0.0036401305849835795,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
3080,M,299.9,309.2,1539,43.2,132,9.300000000000011,6962.271975179557,5702.400000000001,0,0.0036802611259730937,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
6538,L,301.4,310.7,1487,44.6,88,9.300000000000011,6945.035103486861,3924.8,0,0.0037186307177410234,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
8023,H,300.9,312.0,1397,42.7,212,11.100000000000023,6246.732360422433,9052.400000000001,0,0.015367756317906761,CONTINUE OPERATION,PERFORM MAINTENANCE,CONTINUE OPERATION
7225,M,299.8,309.7,1910,21.8,141,9.899999999999977,4360.321163672394,3073.8,0,0.0036652159666682414,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
3836,L,302.4,311.2,1466,43.9,152,8.800000000000011,6739.491168137991,6672.8,0,0.003641693686385657,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
5448,L,303.0,312.7,1551,41.8,111,9.699999999999989,6789.170219966759,4639.799999999999,0,0.003699620527811877,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
6434,M,300.3,309.9,1494,38.5,33,9.599999999999966,6023.37559472771,1270.5,0,0.003683222904782198,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
196,H,298.3,308.6,1432,49.5,91,10.300000000000011,7422.955121901963,4504.5,0,0.003702614280711861,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
561,M,297.5,309.4,1678,34.4,148,11.899999999999977,6044.759368723145,5091.2,0,0.003656658503105451,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
9174,L,297.8,308.9,1871,25.6,200,11.099999999999966,5015.824942819416,5120.0,1,0.004162851683917574,REPAIR AFTER FAILURE,PERFORM MAINTENANCE,CONTINUE OPERATION
4566,L,302.8,310.8,1402,50.5,30,8.0,7414.263382227032,1515.0,0,0.005392423671451023,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
9025,L,297.5,308.4,1440,35.9,13,10.899999999999977,5413.592460665931,466.7,0,0.0037458071642917264,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
986,H,296.4,307.1,1638,32.5,146,10.700000000000045,5574.756163795088,4745.0,0,0.003665103677490755,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
9744,L,298.8,310.1,1574,36.2,181,11.300000000000011,5966.80598301207,6552.200000000001,0,0.003646655543777412,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
7874,L,300.7,312.3,1548,37.9,58,11.600000000000023,6143.824257066343,2198.2,0,0.0036634374763982293,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
3806,M,302.3,310.9,1360,44.0,67,8.599999999999966,6266.430146360441,2948.0,1,0.7071335733168256,REPAIR AFTER FAILURE,CONTINUE OPERATION,PERFORM MAINTENANCE
6707,L,301.3,310.6,1556,39.0,72,9.300000000000011,6354.813619681434,2808.0,0,0.0036412438728719277,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
9801,M,298.4,309.3,1496,45.6,129,10.900000000000034,7143.730366850903,5882.400000000001,0,0.003649030665881822,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
1848,H,297.7,307.2,1429,44.1,26,9.5,6599.323775910328,1146.6000000000001,0,0.004046803612056624,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
1916,L,298.0,307.7,1387,50.8,204,9.699999999999989,7378.512057829178,10363.199999999999,0,0.006791551828955404,CONTINUE OPERATION,PERFORM MAINTENANCE,CONTINUE OPERATION
4966,L,303.8,312.6,1793,28.1,170,8.800000000000011,5276.126838120355,4777.0,0,0.003647646880831668,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
3678,L,302.2,311.5,1567,33.1,168,9.300000000000011,5431.572842619978,5560.8,0,0.003649992889951012,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
8358,L,298.7,309.7,1547,37.4,0,11.0,6058.85464776225,0.0,0,0.0036413826600562222,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
8751,M,297.4,308.5,1472,42.0,150,11.100000000000023,6474.194140517845,6300.0,0,0.003638926025097612,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
7384,L,299.7,310.4,1614,36.2,108,10.699999999999989,6118.440188425338,3909.6000000000004,0,0.0036413826600562222,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
7252,H,300.2,310.4,1501,42.9,212,10.199999999999989,6743.20871944474,9094.8,0,0.012555213326511919,CONTINUE OPERATION,PERFORM MAINTENANCE,CONTINUE OPERATION
3417,L,301.6,310.6,1621,33.7,137,9.0,5720.599366750239,4616.900000000001,0,0.0036432634722745674,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
1429,M,298.9,310.0,1456,43.8,15,11.100000000000023,6678.271999295039,657.0,0,0.0036897096721393344,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
6438,L,300.4,310.0,1581,30.3,42,9.600000000000023,5016.526565178718,1272.6000000000001,0,0.0036942775800747328,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
7398,M,299.7,310.7,1498,37.8,146,11.0,5929.693301797663,5518.799999999999,0,0.0037167979948423266,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
2747,L,299.7,309.2,1616,31.6,175,9.5,5347.577127038498,5530.0,0,0.0037698488821957263,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
1664,L,298.2,308.0,1535,38.0,179,9.800000000000011,6108.3033161297535,6802.0,0,0.0037541007208772544,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
2671,M,299.7,309.3,1399,41.9,221,9.600000000000023,6138.473077579729,9259.9,1,0.010174420988640027,REPAIR AFTER FAILURE,PERFORM MAINTENANCE,CONTINUE OPERATION
7684,M,300.7,311.8,1407,42.4,224,11.100000000000023,6247.245487222519,9497.6,0,0.008913641809503488,CONTINUE OPERATION,PERFORM MAINTENANCE,CONTINUE OPERATION
4339,L,301.7,309.9,1524,46.6,104,8.199999999999989,7437.029456990045,4846.400000000001,0,0.004152875341508534,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
7605,H,300.4,311.3,2026,20.3,26,10.900000000000034,4306.893144610343,527.8000000000001,0,0.0036436362829872517,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
2324,L,299.3,308.8,1636,29.9,201,9.5,5122.513429335325,6009.9,0,0.004421019380810321,CONTINUE OPERATION,PERFORM MAINTENANCE,CONTINUE OPERATION
8991,M,297.3,308.0,1598,29.4,148,10.699999999999989,4919.859759227758,4351.2,0,0.0038459737210735654,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
8464,H,298.6,309.7,1672,27.5,54,11.099999999999966,4815.014340401957,1485.0,0,0.003737403149378718,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
